# Dascyllus trimaculatus
# sample dates: 08/09/1997 02/20/1998
#"Anemone Area (cm2)"	"# new settlers added to anemone"	"# surviving next 195 days "		
area			init	surv
392.699081698724	1	1		
314.159265358979	1	1		
471.238898038469	1	1		
157.07963267949	1	0		
267.035375555132	1	1		
589.048622548086	1	1		
353.429173528852	1	1		
157.07963267949	1	1		
226.980069221863	1	0		
471.238898038469	1	0		
314.159265358979	1	0		
176.714586764426	1	0		
699.789763587127	1	1		
505.796417227957	1	1		
639.314105005523	1	1		
569.41366846315	1	1		
367.566340470006	1	1		
466.526509058084	1	1		
226.980069221863	1	1		
164.933614313464	1	1		
569.41366846315	1	1		
314.159265358979	1	1		
483.805268652828	1	1		
282.743338823081	1	0		
346.360590058275	1	0		
339.292006587698	1	0		
253.683606777376	1	0		
571.769862953342	1	0		
706.858347057704	1	0		
895.353906273091	1	0		
280.387144332889	1	0		
414.690230273853	1	0		
428.827397215007	1	0		
251.327412287183	1	0		
428.827397215007	1	0		
659.734457253857	1	1		
730.420291959627	1	0		
1002.16805649514	1	1		
325.154839646544	1	0		
240.331837999619	1	0		
395.840674352314	1	0		
487.732259469815	1	1		
251.327412287183	1	1		
367.566340470006	1	1		
958.971157508285	1	1		
510.508806208341	1	1		
226.980069221863	1	1		
150.79644737231	1	0		
333.794219443916	1	1		
530.143760293278	1	1		
1256.63706143592	1	1		
451.603943953533	1	1		
541.924732744239	1	1		
1566.86933597791	1	1		
451.603943953533	1	1		
451.603943953533	1	1		
414.690230273853	1	1		
706.072948894306	1	1		
379.347312920967	1	1		
164.933614313464	1	1		
1985.48655706875	1	1		
487.732259469815	1	1		
1187.52202305694	1	1		
471.238898038469	2	1		
176.714586764426	2	1		
294.524311274043	2	1		
1104.26981773681	2	0		
451.603943953533	2	1		
650.309679293087	2	2		
852.157007286232	2	2		
131.946891450771	2	0		
824.668071567321	2	2		
376.991118430775	2	1		
471.238898038469	2	0		
325.154839646544	2	1		
571.769862953342	2	1		
824.668071567321	2	2		
415.47562843725	2	1		
637.743308678728	2	1		
1061.85831691335	2	1		
1295.90696960579	2	2		
451.603943953533	2	2		
451.603943953533	2	2		
235.619449019235	2	2		
283.528736986479	2	1		
408.407044966673	2	1		
127.234502470387	2	0		
214.413698607503	2	0		
296.880505764235	2	0		
343.218997404685	2	1		
367.566340470006	2	0		
530.143760293278	2	2		
449.24774946334	2	1		
686.43799480937	2	1		
449.24774946334	3	0		
439.822971502571	3	0		
247.400421470196	4	2		
466.526509058084	5	4		
408.407044966673	5	2		
329.867228626928	5	1		
141.371669411541	5	1		
392.699081698724	5	1		
449.24774946334	5	4		
414.690230273853	5	1		
402.123859659494	5	1		
282.743338823081	7	3		
466.526509058084	10	1		
415.47562843725	10	1		
379.347312920967	10	1		
637.743308678728	10	3		
329.867228626928	10	2		
487.732259469815	10	3		
835.663645854885	10	4		
603.18578948924	11	6		
518.362787842316	15	3		
714.712328691678	15	6		
471.238898038469	15	2		
117.809724509617	15	1		
466.526509058084	15	3		
466.526509058084	20	4		
747.699051554371	20	8		
439.822971502571	20	4		
282.743338823081	20	3		
307.090681888402	20	3		
697.433569096934	20	7		
379.347312920967	20	2		
298.45130209103	35	2		
730.420291959627	35	7		
592.190215201676	35	6		
329.867228626928	35	3		
824.668071567321	50	6		
572.55526111674	50	4		
962.112750161874	50	7		
267.035375555132	50	3		
122.732289614169	50	1		
604.756585816035	50	6		
223.838476568273	50	2		
