"site" "pulse" "obs" "density"
"Cdina" 1 1 2.7
"Cdina" 1 2 2.7
"Cdina" 1 3 2.7
"Cdina" 1 4 2.7
"Cdina" 1 5 5.4
"Cdina" 1 6 5.4
"Cdina" 1 7 8.1
"Cdina" 1 8 8.1
"Cdina" 1 9 10.8
"Cdina" 1 10 10.8
"Cdina" 2 1 2.7
"Cdina" 2 2 2.7
"Cdina" 2 3 5.4
"Cdina" 2 4 5.4
"Cdina" 2 5 8.1
"Cdina" 2 6 10.8
"Cdina" 2 7 13.5
"Cdina" 2 8 13.5
"Cdina" 2 9 16.2
"Cdina" 2 10 18.9
"Cdina" 3 1 0
"Cdina" 3 2 0
"Cdina" 3 3 0
"Cdina" 3 4 0
"Cdina" 3 5 2.2
"Cdina" 3 6 2.2
"Cdina" 3 7 4.4
"Cdina" 3 8 6.6
"Cdina" 3 9 11
"Cdina" 3 10 22
"Cdina" 4 1 0
"Cdina" 4 2 2.2
"Cdina" 4 3 4.4
"Cdina" 4 4 4.4
"Cdina" 4 5 4.4
"Cdina" 4 6 15.4
"Cdina" 4 7 26.4
"Cdina" 4 8 26.4
"Cdina" 4 9 26.4
"Cdina" 4 10 68.3
"Cdina" 5 1 2.2
"Cdina" 5 2 2.2
"Cdina" 5 3 4.4
"Cdina" 5 4 4.4
"Cdina" 5 5 4.4
"Cdina" 5 6 4.4
"Cdina" 5 7 6.6
"Cdina" 5 8 8.8
"Cdina" 5 9 8.8
"Cdina" 5 10 11
"Cdina" 6 1 0
"Cdina" 6 2 0
"Cdina" 6 3 0
"Cdina" 6 4 0
"Cdina" 6 5 0
"Cdina" 6 6 2.2
"Cdina" 6 7 4.4
"Cdina" 6 8 4.4
"Cdina" 6 9 13.2
"Cdina" 6 10 24.2
"Hin" 1 1 0
"Hin" 1 2 0
"Hin" 1 3 0
"Hin" 1 4 3.6
"Hin" 1 5 3.6
"Hin" 1 6 3.6
"Hin" 1 7 3.6
"Hin" 1 8 3.6
"Hin" 1 9 10.7
"Hin" 1 10 14.3
"Hin" 2 1 0
"Hin" 2 2 0
"Hin" 2 3 0
"Hin" 2 4 0
"Hin" 2 5 0
"Hin" 2 6 3.6
"Hin" 2 7 3.6
"Hin" 2 8 3.6
"Hin" 2 9 10.7
"Hin" 2 10 17.9
"Hin" 3 1 1.9
"Hin" 3 2 1.9
"Hin" 3 3 1.9
"Hin" 3 4 1.9
"Hin" 3 5 3.9
"Hin" 3 6 3.9
"Hin" 3 7 3.9
"Hin" 3 8 5.8
"Hin" 3 9 5.8
"Hin" 3 10 5.8
"Hin" 4 1 1.9
"Hin" 4 2 3.9
"Hin" 4 3 5.8
"Hin" 4 4 5.8
"Hin" 4 5 5.8
"Hin" 4 6 11.6
"Hin" 4 7 11.6
"Hin" 4 8 11.6
"Hin" 4 9 21.2
"Hin" 4 10 48.2
"Hin" 5 1 1.9
"Hin" 5 2 5.8
"Hin" 5 3 7.7
"Hin" 5 4 7.7
"Hin" 5 5 7.7
"Hin" 5 6 11.6
"Hin" 5 7 13.5
"Hin" 5 8 21.2
"Hin" 5 9 42.4
