VAR1;WAVE_NON;TREE_NO;C1999;C1998;C1997;C1996;C1995;C1994;C1993;C1992;C1991;NOTES_IN;G1998;G1997;G1996;G1995;G1994;G1993;G1992;G1991;G1990;DBH;DBH_MM;DBH_2;DBH_2MM;AGE;GOOD_OR;PC1998;AC1998;PC1994;AC1994;R3PC1998;RPC1994;RAC1994;RLOOKOUT;RSHREWYS;RWILLS;C8TOT;G8TOT;RAC1994I;RPC1994I;R3PC1998;AC1998I;TOTCONES
Blackbea;n;1066;0;0;0;0;0;19;0;0;0;;17;24;18;22;15;12;24;36;45;9.4;94;88.36;883.6;42;g;196;17;117;96;64;72;55;0;0;0;19;168;517;676.8;601.6;159.8;19
Blackbea;n;1068;0;22;0;0;0;20;0;0;0;;19;31;26;21;18;24;33;47;28;10.6;106;112.36;1123.6;42;g;228;19;132;115;78;104;65;0;0;0;42;219;689;1102.4;826.8;201.4;42
Blackbea;n;1069;0;22;0;0;0;18;0;0;0;;15;20;16;22;15;22;22;15;24;7.7;77;59.29;592.9;45;g;156;15;83;88;58;59;53;0;0;0;40;147;408.1;454.3;446.6;115.5;40
Blackbea;n;1077;0;17;0;0;0;51;0;0;0;;18;18;20;10;7;25;35;45;27;10.6;106;112.36;1123.6;44;g;187;18;132;73;48;105;37;0;0;0;68;178;392.2;1113;508.8;190.8;68
Blackbea;n;1080;0;2;0;0;0;3;0;0;0;;14;22;21;18;19;16;14;19;21;8.7;87;75.69;756.9;35;g;150;14;70;94;61;49;58;0;0;0;5;143;504.6;426.3;530.7;121.8;5
Blackbea;n;1085;0;0;0;0;0;0;0;0;0;;20;21;16;15;18;13;20;22;20;10.1;101;102.01;1020.1;45;g;145;20;75;90;52;55;49;0;0;0;0;145;494.9;555.5;525.2;202;0
Blackbea;n;1086;0;0;0;0;0;21;0;0;0;;18;19;10;6;6;10;10;17;21;8.1;81;65.61;656.1;38;g;99;18;58;59;35;37;22;0;0;0;21;96;178.2;299.7;283.5;145.8;21
Blackbea;n;1087;0;54;0;0;0;60;0;0;0;;22;28;30;31;27;23;23;34;31;11.6;116;134.56;1345.6;44;g;227;22;111;138;89;80;88;0;0;0;114;218;1020.8;928;1032.4;255.2;114
Blackbea;n;1092;0;0;0;0;0;37;0;0;0;;19;18;16;11;7;20;23;35;25;10.1;101;102.01;1020.1;39;g;155;19;103;71;45;78;34;0;0;0;37;149;343.4;787.8;454.5;191.9;37
Blackbea;n;1101;0;44;0;0;0;48;0;0;0;;18;24;16;14;10;15;17;23;17;13.3;133;176.89;1768.9;40;g;136;18;72;82;54;55;40;0;0;0;92;137;532;731.5;718.2;239.4;92
Blackbea;n;1102;0;43;3;0;0;38;0;0;0;;3;16;13;8;10;17;17;23;20;10;100;100;1000;40;g;124;3;77;50;37;57;31;0;0;0;84;107;310;570;370;30;84
Blackbea;n;1103;0;56;0;15;0;31;0;0;0;;16;25;17;22;24;21;18;24;35;13.4;134;179.56;1795.6;49;g;186;16;98;104;64;63;63;0;0;0;102;167;844.2;844.2;857.6;214.4;102
Blackbea;n;1104;0;52;0;0;29;17;0;0;0;;11;21;17;15;24;25;22;34;34;9.7;97;94.09;940.9;30;g;192;11;115;88;53;81;56;0;0;0;98;169;543.2;785.7;514.1;106.7;98
Blackbea;n;1106;0;26;0;0;0;37;0;0;0;;10;22;20;8;5;8;13;14;16;7.4;74;54.76;547.6;43;g;106;10;51;65;50;35;33;0;0;0;63;100;244.2;259;370;74;63
Blackbea;n;1107;1;8;0;0;0;0;0;0;0;;;;;;;;;;;8.7;87;75.69;756.9;;g;;;;;;;;0;0;0;9;;;;;;9
Blackbea;n;1108;0;10;0;0;0;21;0;0;0;;13;20;15;10;10;12;11;22;19;8.6;86;73.96;739.6;41;g;119;13;64;68;45;45;35;0;0;0;31;113;301;387;387;111.8;31
Blackbea;n;1114;0;6;0;5;0;24;0;0;0;;10;16;9;8;10;10;10;16;16;7.9;79;62.41;624.1;43;g;95;10;52;53;33;36;27;0;0;0;35;89;213.3;284.4;260.7;79;35
Blackbea;n;1116;0;74;25;0;0;117;0;0;0;;20;23;25;11;10;22;26;30;14;14.2;142;201.64;2016.4;39;g;161;20;92;89;59;78;46;0;0;0;216;167;653.2;1107.6;837.8;284;216
Blackbea;n;1117;0;0;0;0;0;27;0;0;0;;7.3;11.6;7.5;4.6;7.6;11.5;12.9;15.9;14;9.5;95;90.25;902.5;43;g;85.6;7.3;54.3;38.6;23.7;40.3;19.7;0;0;0;27;78.9;187.15;382.85;225.15;69.35;27
Blackbea;n;1120;0;137;25;25;7;103;0;0;0;;10;18;18;22;11;31;29;28;23;15.9;159;252.81;2528.1;46;g;180;10;111;79;58;88;51;0;0;0;297;167;810.9;1399.2;922.2;159;297
Blackbea;n;1124;0;0;0;0;0;36;0;0;0;;14;21;14;10;14;21;23;26;25;6;60;36;360;39;g;154;14;95;73;45;70;38;0;0;0;36;143;228;420;270;84;36
Blackbea;n;1128;2;24;16;0;19;56;10;0;0;;24;21;10;13;13;28;23;34;27;10.6;106;112.36;1123.6;41;g;169;24;112;81;44;85;36;0;0;0;127;166;381.6;901;466.4;254.4;127
Blackbea;n;1134;0;12;0;0;0;11;0;0;0;;16;21;14;15;17;21;13;23;12;7.3;73;53.29;532.9;46;g;136;16;69;83;50;57;46;0;0;0;23;140;335.8;416.1;365;116.8;23
Blackbea;n;1138;0;10;0;0;0;36;0;0;0;;22;20;21;10;10;19;18;19;21;10.3;103;106.09;1060.9;32;g;138;22;77;83;51;56;41;0;0;0;46;139;422.3;576.8;525.3;226.6;46
Blackbea;n;1140;0;8;0;0;0;19;0;0;0;;19;18;20;11;10;12;10;;;8.4;84;70.56;705.6;30;g;81;19;22;78;49;22;41;0;0;0;27;;344.4;184.8;411.6;159.6;27
Blackbea;n;1144;0;6;0;10;0;50;0;0;0;;31;28;10;10;9;17;18;25;25;10.2;102;104.04;1040.4;46;g;142;31;85;88;48;60;29;0;0;0;66;148;295.8;612;489.6;316.2;66
Blackbea;n;1147;0;11;0;0;0;0;0;0;0;;25;30;37;20;12;25;16;19;16;13.8;138;190.44;1904.4;72;g;175;25;76;124;87;60;69;0;0;0;11;184;952.2;828;1200.6;345;11
Blackbea;n;1148;0;1;0;0;0;19;0;0;0;;20;24;21;12;14;15;15;20;21;9.4;94;88.36;883.6;47;g;142;20;71;91;57;50;47;0;0;0;20;141;441.8;470;535.8;188;20
Blackbea;n;1150;0;30;0;17;0;94;0;0;0;;14;18;15;15;13;16;17;26;25;8.1;81;65.61;656.1;35;g;145;14;84;75;48;59;43;0;0;0;141;134;348.3;477.9;388.8;113.4;141
Blackbea;n;1152;0;0;0;0;0;3;0;0;0;;26;17;15;15;18;17;13;22;26;9.6;96;92.16;921.6;42;g;143;26;78;91;47;52;48;0;0;0;3;143;460.8;499.2;451.2;249.6;3
Blackbea;n;1154;0;5;0;5;0;12;0;0;0;;16;18;13;15;15;15;14;15;;7.3;73;53.29;532.9;38;g;105;16;44;77;46;44;43;0;0;0;22;121;313.9;321.2;335.8;116.8;22
Blackbea;n;1156;0;0;0;0;0;39;0;0;0;;18;17;30;8;7;10;10;12;19;7.4;74;54.76;547.6;45;g;113;18;51;80;55;32;45;0;0;0;39;112;333;236.8;407;133.2;39
Blackbea;n;1158;0;26;0;22;0;48;0;0;0;;12;18;11;12;13;19;18;29;34;10.3;103;106.09;1060.9;46;g;154;12;100;66;41;66;36;0;0;0;96;132;370.8;679.8;422.3;123.6;96
Blackbea;n;1164;0;5;0;2;0;0;;;;;10;16;13;24;11;14;;;;7;70;49;490;40;g;78;10;14;74;53;14;48;0;0;0;;;336;98;371;70;
Blackbea;n;1165;0;134.5;31;4;0;35;2;0;0;;13;20;27;15;11;22;21;25;20;13.4;134;179.56;1795.6;31;g;161;13;88;86;62;68;53;0;0;0;206.5;154;710.2;911.2;830.8;174.2;206.5
Blackbea;n;1166;0;11;0;0;0;29;0;0;0;;20;22;15;12;15;21;17;21;0;9.2;92;84.64;846.4;45;g;123;20;59;84;49;59;42;0;0;0;40;143;386.4;542.8;450.8;184;40
Blackbea;n;1167;0;82;0;48;0;101;0;0;0;;12;14;20.6;14.6;14.7;20.4;12;18.5;14.5;13.9;139;193.21;1932.1;39;g;129.3;12;65.4;75.9;49.2;50.9;49.9;0;0;0;231;126.8;693.61;707.51;683.88;166.8;231
Blackbea;n;1168;0;31;0;0;0;32.5;0;0;0;;13;21;26;13;13;12;14;18;36;10.9;109;118.81;1188.1;41;g;153;13;80;86;60;44;52;0;0;0;63.5;130;566.8;479.6;654;141.7;63.5
Blackbea;n;1173;0;57;0;0;0;145;0;0;0;;12.3;19.5;21.3;14.5;14;16.4;20;25.4;31;17.4;174;302.76;3027.6;48;g;162.1;12.3;92.8;81.6;55.3;61.8;49.8;0;0;0;202;143.4;866.52;1075.32;962.22;214.02;202
Blackbea;n;1175;0;26;2;0;0;7;14;5;0;;14;21;24;9;10;13;20;18;;10.2;102;104.04;1040.4;46;g;115;14;51;78;54;51;43;0;0;0;54;129;438.6;520.2;550.8;142.8;54
Blackbea;n;1178;0;0;0;0;0;32;0;0;0;;17;23;17;8;8;16;20;21;32;8.2;82;67.24;672.4;44;g;145;17;89;73;48;57;33;0;0;0;32;130;270.6;467.4;393.6;139.4;32
Blackbea;n;1180;10;42;20;0;4;31.5;0;0;0;;14;18;18;12;17;18;19;19;7;11.3;113;127.69;1276.9;41;g;128;14;63;79;48;56;47;0;0;0;107.5;135;531.1;632.8;542.4;158.2;107.5
Blackbea;n;1181;0;71;19;0;0;35.5;0;4;13;;6;15;13;20;23;21;20;8;22;16.1;161;259.21;2592.1;41;g;142;6;71;77;48;49;56;0;0;0;129.5;126;901.6;788.9;772.8;96.6;142.5
Blackbea;n;1184;0;18;0;17;0;47;0;0;0;;9;11;10;9;10;15;19;17;19;12.3;123;151.29;1512.9;39;g;110;9;70;49;30;51;29;0;0;0;82;100;356.7;627.3;369;110.7;82
Blackbea;n;1185;0;33;0;0;0;32;0;0;0;;11;15;16;12;11;9;14;23;22;8.3;83;68.89;688.9;40;g;122;11;68;65;43;46;39;0;0;0;65;111;323.7;381.8;356.9;91.3;65
Blackbea;n;1186;0;44;0;0;25;84;0;0;0;;13;24;15;24;19;18;29;22;13;12.4;124;153.76;1537.6;45;g;164;13;82;95;63;69;58;0;0;0;153;164;719.2;855.6;781.2;161.2;153
Blackbea;n;1187;0;34;0;0;1;76;10;2;0;;14;20;22;19;9;15;19;27;32;12.5;125;156.25;1562.5;44;g;163;14;93;84;61;61;50;0;0;0;123;145;625;762.5;762.5;175;123
Blackbea;n;1191;0;52;17;0;4;35;23;0;0;;11;14;9;11;13;15;14;25;32;11.3;113;127.69;1276.9;35;g;133;11;86;58;34;54;33;0;0;0;131;112;372.9;610.2;384.2;124.3;131
Blackbea;n;1196;0;8;0;0;0;35;0;0;0;;19;27;19;11;10;19;13;17;25;7.8;78;60.84;608.4;38;g;141;19;74;86;57;49;40;0;0;0;43;135;312;382.2;444.6;148.2;43
Blackbea;n;1197;0;25;0;0;0;65;3;5;0;;12;22;12;12;10;15;16;26;21;11.6;116;134.56;1345.6;40;g;134;12;78;68;46;57;34;0;0;0;98;125;394.4;661.2;533.6;139.2;98
Blackbea;n;1201;0;9;0;0;0;28;0;0;0;;10;17;15;11;10;13;12;17;18;10;100;100;1000;43;g;113;10;60;63;43;42;36;0;0;0;37;105;360;420;430;100;37
Blackbea;n;1202;0;0;0;0;0;34;0;0;0;;17;23;20;16;18;19;22;17;20;7;70;49;490;35;g;155;17;78;94;59;58;54;0;0;0;34;152;378;406;413;119;34
Blackbea;n;1207;0;0;0;0;0;10;0;0;0;;10;14;13;12;12;13;11;31;24;5.7;57;32.49;324.9;46;g;130;10;79;61;39;55;37;0;0;0;10;116;210.9;313.5;222.3;57;10
Blackbea;n;1208;0;15;0;0;0;50;0;0;0;;20;25;22;18;20;31;40;43;34;7.7;77;59.29;592.9;43;g;233;20;148;105;65;114;60;0;0;0;65;219;462;877.8;500.5;154;65
Blackbea;n;1209;0;13;0;1;3;18;0;0;0;;10;9;18;12;19;15;17;16;18;8.9;89;79.21;792.1;40;g;124;10;66;68;39;48;49;0;0;0;35;116;436.1;427.2;347.1;89;35
Blackbea;n;1213;0;6;0;15;0;22;2;5;0;;9;11;5;9;8;11;13;17;20;8.5;85;72.25;722.5;41;g;94;9;61;42;25;41;22;0;0;0;50;83;187;348.5;212.5;76.5;50
