DBH fecundity pop
9.399999619 19 nonwave
10.60000038 42 nonwave
7.699999809 40 nonwave
10.60000038 68 nonwave
8.699999809 5 nonwave
8.100000381 21 nonwave
11.60000038 114 nonwave
10.10000038 37 nonwave
13.30000019 92 nonwave
10 84 nonwave
13.39999962 102 nonwave
9.699999809 98 nonwave
7.400000095 63 nonwave
8.699999809 9 nonwave
8.600000381 31 nonwave
7.900000095 35 nonwave
14.19999981 216 nonwave
9.5 27 nonwave
15.89999962 297 nonwave
6 36 nonwave
10.60000038 127 nonwave
7.300000191 23 nonwave
10.30000019 46 nonwave
8.399999619 27 nonwave
10.19999981 66 nonwave
13.80000019 11 nonwave
9.399999619 20 nonwave
8.100000381 141 nonwave
9.600000381 3 nonwave
7.300000191 22 nonwave
7.400000095 39 nonwave
10.30000019 96 nonwave
13.39999962 206.5 nonwave
9.199999809 40 nonwave
13.89999962 231 nonwave
10.89999962 63.5 nonwave
17.39999962 202 nonwave
10.19999981 54 nonwave
8.199999809 32 nonwave
11.30000019 107.5 nonwave
16.10000038 129.5 nonwave
12.30000019 82 nonwave
8.300000191 65 nonwave
12.39999962 153 nonwave
12.5 123 nonwave
11.30000019 131 nonwave
7.800000191 43 nonwave
11.60000038 98 nonwave
10 37 nonwave
7 34 nonwave
5.699999809 10 nonwave
7.699999809 65 nonwave
8.899999619 35 nonwave
8.5 50 nonwave
NA 18 nonwave
8.5 19 nonwave
10.69999981 73 nonwave
10.19999981 33 nonwave
10.80000019 61 nonwave
9 9 nonwave
9.399999619 146 nonwave
10.60000038 44 nonwave
10 42 nonwave
7.400000095 61 nonwave
9.100000381 17 nonwave
6.699999809 53 nonwave
9.699999809 27 nonwave
8.600000381 74 nonwave
9.100000381 36 nonwave
6.300000191 28 nonwave
6.699999809 56 nonwave
10.89999962 46 nonwave
9.899999619 15 nonwave
6.800000191 26 nonwave
9.800000191 46 nonwave
7.699999809 15 nonwave
12.10000038 105 nonwave
10 62 nonwave
9.600000381 24 nonwave
9.199999809 25 nonwave
8.199999809 41 nonwave
11.30000019 138 nonwave
11.60000038 77 nonwave
15.69999981 227.6999969 nonwave
9.100000381 28 nonwave
8.899999619 45 nonwave
8.699999809 57 nonwave
11 109 nonwave
6.599999905 28 nonwave
7.099999905 17 nonwave
9 91 nonwave
12.39999962 69 nonwave
12.10000038 87 nonwave
7.5 10 nonwave
9 65 nonwave
8 50 nonwave
10.89999962 27 nonwave
9.199999809 30 nonwave
10.10000038 86 nonwave
12.10000038 119 nonwave
7 22 nonwave
6.800000191 8 nonwave
8.600000381 54 nonwave
11.60000038 104 nonwave
6.599999905 14 nonwave
10.10000038 97 nonwave
9.399999619 83 nonwave
6.699999809 16 nonwave
6.800000191 5 nonwave
8.5 53 nonwave
7.800000191 40 nonwave
7.900000095 32 nonwave
9.800000191 109 nonwave
6.199999809 39 nonwave
6.699999809 37 nonwave
15.39999962 111 nonwave
9.199999809 206 nonwave
12.89999962 156 nonwave
6.699999809 42 nonwave
9.600000381 86 nonwave
8.399999619 94 nonwave
8 54 nonwave
8.699999809 1 nonwave
6.699999809 14 nonwave
9.199999809 44 nonwave
9.5 108 nonwave
8 114.5 nonwave
5.5 14 nonwave
8.5 73 nonwave
6.099999905 47 nonwave
5.699999809 3 nonwave
5.599999905 16 nonwave
8 87 nonwave
6.5 61 nonwave
9.600000381 48 nonwave
7.900000095 17 nonwave
5.900000095 5 nonwave
11 88 nonwave
10.69999981 42 nonwave
8.199999809 11 nonwave
12.80000019 133 nonwave
10.30000019 101 nonwave
12.80000019 121 nonwave
12.5 166 nonwave
13.69999981 171 nonwave
NA 120 nonwave
NA 21 nonwave
NA 60 nonwave
NA 22 nonwave
11.80000019 63 wave
6.300000191 23 wave
6.300000191 4 wave
8.199999809 51 wave
6.199999809 10 wave
6.699999809 14 wave
9.800000191 78 wave
9.399999619 47 wave
6.699999809 31 wave
6 42 wave
4.900000095 24 wave
9.600000381 42 wave
7.5 55 wave
8.399999619 19 wave
7.400000095 63 wave
9.899999619 127 wave
7.400000095 9 wave
9.5 74 wave
8.199999809 36 wave
13.89999962 120 wave
6.900000095 85 wave
6.5 86 wave
9.399999619 51 wave
9.699999809 47 wave
7.199999809 15 wave
7.400000095 19 wave
NA 63 wave
4.400000095 11 wave
3.700000048 19 wave
4 68 wave
NA 20 wave
4.400000095 3 wave
4.800000191 41 wave
4.900000095 62 wave
6.300000191 18 wave
3.5 10 wave
5.099999905 2 wave
5.300000191 12 wave
7 26 wave
4.300000191 19 wave
3.799999952 9 wave
3.299999952 4 wave
5.699999809 10 wave
NA 46 wave
5.300000191 32 wave
6.900000095 9 wave
7 82 wave
9.399999619 77 wave
7.5 29 wave
6.099999905 24 wave
6.199999809 34 wave
7.5 25 wave
3.200000048 16 wave
6.199999809 28 wave
6.800000191 28 wave
8.100000381 58 wave
6.300000191 95 wave
5 14 wave
6 78 wave
3.900000095 1 wave
6.599999905 61 wave
NA 10 wave
7.800000191 27 wave
8.600000381 62 wave
6.699999809 16 wave
7.599999905 28 wave
7.900000095 4 wave
7.300000191 6 wave
16.70000076 18 wave
7.300000191 3 wave
11.19999981 64 wave
6 2 wave
7 27 wave
12.80000019 124 wave
6 78 wave
9.699999809 12 wave
6.800000191 22 wave
NA 39 wave
12.19999981 109 wave
10.69999981 22 wave
7 21 wave
6.5 15 wave
9.199999809 15 wave
14.69999981 77 wave
10.69999981 83 wave
7.699999809 62 wave
7 73 wave
7.699999809 18 wave
7.5 20 wave
8.100000381 65 wave
6.300000191 1 wave
6.099999905 7 wave
8.199999809 51 wave
9.800000191 72 wave
NA 9 wave
NA 14 wave
NA 3 wave
NA 13 wave
5.800000191 7 wave
7.199999809 23 wave
NA 7 wave
5.599999905 7 wave
6.900000095 9 wave
11.30000019 23 wave
9.600000381 55 wave
NA 15 wave
6.800000191 48 wave
6.900000095 13 wave
6.599999905 2 wave
4.800000191 9 wave
4.400000095 3 wave
4.800000191 4 wave
8.5 16 wave
7 1 wave
8.699999809 88 wave
6.599999905 8 wave
8.600000381 27 wave
5.300000191 16 wave
10.39999962 184 wave
6.400000095 14 wave
5.400000095 22 wave
8.199999809 25 wave
5.5 52 wave
6.199999809 2 wave
14.69999981 134 wave
10.5 81 wave
14.39999962 85 wave
5.800000191 3 wave
4.5 36 wave
6.099999905 56 wave
6.199999809 17 wave
6.199999809 8 wave
7.199999809 10 wave
6 6 wave
10.60000038 69 wave
8.699999809 58 wave
7.5 1 wave
7.300000191 22 wave
5 20 wave
5.199999809 3 wave
6.900000095 11 wave
6.599999905 22 wave
6.699999809 2 wave
11.39999962 11 wave
3.299999952 13 wave
5.199999809 37 wave
6.900000095 8 wave
7.5 15 wave
9 61 wave
5.900000095 6 wave
4.599999905 19 wave
6.5 18 wave
6.599999905 9 wave
9.800000191 109 wave
5 13 wave
NA 9 wave
4.699999809 54 wave
4.199999809 4 wave
4.800000191 11 wave
NA 1 wave
NA 6 wave
NA 21 wave
NA 6 wave
6.699999809 30 wave
5.900000095 3 wave
6.900000095 16 wave
6.5 22 wave
6 9 wave
12 48 wave
7.5 17 wave
6.400000095 64 wave
7.300000191 38 wave
7.300000191 59 wave
6.400000095 37 wave
7 22 wave
5.900000095 41 wave
9.100000381 1 wave
NA 9 wave
6.699999809 22 wave
4 16 wave
6.5 17 wave
5.900000095 7 wave
6.400000095 51 wave
4.699999809 4 wave
