exper;year;site;head;density;qual;d1;d2
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;1;4
1;2000;patchreef;p3;11;1;4;8
1;2000;patchreef;p12;3;1;1;4
1;2000;patchreef;p12;3;1;1;4
1;2000;patchreef;p12;3;1;11;70
1;2000;patchreef;p51;2;1;1;4
1;2000;patchreef;p51;2;1;1;4
1;2000;patchreef;p9;6;2;1;4
1;2000;patchreef;p9;6;2;1;4
1;2000;patchreef;p9;6;2;1;4
1;2000;patchreef;p9;6;2;1;4
1;2000;patchreef;p9;6;2;1;4
1;2000;patchreef;p9;6;2;1;4
1;2000;patchreef;p14;8;2;1;4
1;2000;patchreef;p14;8;2;1;4
1;2000;patchreef;p14;8;2;1;4
1;2000;patchreef;p14;8;2;1;4
1;2000;patchreef;p14;8;2;1;4
1;2000;patchreef;p14;8;2;1;4
1;2000;patchreef;p14;8;2;8;11
1;2000;patchreef;p14;8;2;8;11
1;2000;patchreef;p17;3;2;4;8
1;2000;patchreef;p17;3;2;8;11
1;2000;patchreef;p17;3;2;11;70
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p18;11;2;1;4
1;2000;patchreef;p20;4;2;1;4
1;2000;patchreef;p20;4;2;1;4
1;2000;patchreef;p20;4;2;11;70
1;2000;patchreef;p20;4;2;11;70
1;2000;patchreef;p11;8;3;1;4
1;2000;patchreef;p11;8;3;1;4
1;2000;patchreef;p11;8;3;1;4
1;2000;patchreef;p11;8;3;4;8
1;2000;patchreef;p11;8;3;4;8
1;2000;patchreef;p11;8;3;11;70
1;2000;patchreef;p11;8;3;11;70
1;2000;patchreef;p11;8;3;11;70
1;2000;patchreef;p10;4;4;4;8
1;2000;patchreef;p10;4;4;8;11
1;2000;patchreef;p10;4;4;11;70
1;2000;patchreef;p10;4;4;11;70
1;2000;patchreef;p13;4;4;1;4
1;2000;patchreef;p13;4;4;1;4
1;2000;patchreef;p13;4;4;1;4
1;2000;patchreef;p13;4;4;11;70
1;2000;patchreef;p2;4;5;1;4
1;2000;patchreef;p2;4;5;1;4
1;2000;patchreef;p2;4;5;8;11
1;2000;patchreef;p2;4;5;11;70
1;2000;patchreef;p15;3;5;1;4
1;2000;patchreef;p15;3;5;1;4
1;2000;patchreef;p15;3;5;11;70
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;1;4
1;2000;patchreef;p19;9;5;11;70
1;2000;patchreef;p19;9;5;11;70
1;2000;patchreef;p21;3;7;1;4
1;2000;patchreef;p21;3;7;8;11
1;2000;patchreef;p21;3;7;11;70
1;2000;patchreef;p8;9;8;4;8
1;2000;patchreef;p8;9;8;8;11
1;2000;patchreef;p8;9;8;8;11
1;2000;patchreef;p8;9;8;8;11
1;2000;patchreef;p8;9;8;11;70
1;2000;patchreef;p8;9;8;11;70
1;2000;patchreef;p8;9;8;11;70
1;2000;patchreef;p8;9;8;11;70
1;2000;patchreef;p8;9;8;11;70
1;2000;patchreef;p70;3;8;1;4
1;2000;patchreef;p70;3;8;1;4
1;2000;patchreef;p70;3;8;8;11
1;2000;patchreef;p16;9;9;1;4
1;2000;patchreef;p16;9;9;1;4
1;2000;patchreef;p16;9;9;1;4
1;2000;patchreef;p16;9;9;1;4
