"x";"y";"flowers";"seedlings";"vegetative";"gopher";"rockiness";"moisture";"flowcol";"seedcol";"vegcol";"gophcol";"rockcol";"moiscol"
1;1;23;0;37;8;56;2;3;5;1;1;3;5
1;3;28;1;5;6;74;2.5;2;4;4;1;3;5
1;5;11;6;2;11;70;3.5;5;2;5;1;3;5
1;7;11;1;9;5;71;1;5;4;3;2;3;5
1;9;32;0;16;2;0;2;2;5;2;3;5;5
1;11;12;0;7;5;0;1.5;5;5;3;2;5;5
1;13;17;0;16;10;0;2.5;4;5;2;1;5;5
1;15;25;0;14;3;0;2;3;5;2;3;5;5
1;17;26;3;17;4;7;3;3;3;2;2;4;5
1;19;9;7;4;5;20;3.5;5;2;4;2;4;5
1;21;12;18;12;4;18;4.5;5;1;2;2;4;5
1;23;7;0;10;9;11;2.5;5;5;3;1;4;5
1;25;10;0;2;7;9;3;5;5;5;1;4;5
1;27;16;15;2;5;23;5.5;4;1;5;2;4;5
1;29;13;3;8;4;10;4;5;3;3;2;4;5
1;31;15;35;9;7;30;5.5;4;1;3;1;3;5
3;1;42;1;18;6;117;3.5;2;4;2;1;2;5
3;3;19;13;13;5;95;1;4;1;2;2;2;5
3;5;26;10;14;5;75;2.5;3;2;2;2;3;5
3;7;24;9;22;2;44;0;3;2;1;3;3;5
3;9;22;8;8;3;161;3;3;2;3;3;1;5
3;11;39;0;18;6;200;1.5;2;5;2;1;1;5
3;13;35;0;32;3;74;2.5;2;5;1;3;3;5
3;15;19;0;18;1;92;3;4;5;2;4;2;5
3;17;31;3;5;2;82;3;2;3;4;3;3;5
3;19;19;0;3;1;19;4;4;5;4;4;4;5
3;21;8;0;9;0;35;4;5;5;3;5;3;5
3;23;11;0;5;6;46;4.5;5;5;4;1;3;5
3;25;13;11;7;1;35;7.5;5;1;3;4;3;5
3;27;9;2;2;8;0;4.5;5;3;5;1;5;5
3;29;9;11;1;11;19;3.5;5;1;5;1;4;5
3;31;18;15;2;8;76;4;4;1;5;1;3;5
5;1;24;0;19;2;25;4.5;3;5;1;3;4;5
5;3;17;0;17;1;197;4;4;5;2;4;1;5
5;5;22;0;21;3;165;1;3;5;1;3;1;5
5;7;42;4;46;5;115;2;2;3;1;2;2;5
5;9;17;0;9;7;164;1.5;4;5;3;1;1;5
5;11;63;1;27;3;131;0;1;4;1;3;2;5
5;13;11;0;25;4;16;1;5;5;1;2;4;5
5;15;10;0;35;0;18;1;5;5;1;5;4;5
5;17;36;0;29;3;0;2;2;5;1;3;5;5
5;19;30;3;4;6;0;4;2;3;4;1;5;5
5;21;15;0;5;4;0;4.5;4;5;4;2;5;5
5;23;13;0;2;3;0;5;5;5;5;3;5;5
5;25;8;0;2;7;0;5;5;5;5;1;5;5
5;27;11;8;3;8;0;6;5;2;4;1;5;5
5;29;16;72;0;7;0;5.5;4;1;5;1;5;5
5;31;37;23;5;6;0;5;2;1;4;1;5;4
7;1;17;0;1;5;21;2;4;5;5;2;4;4
7;3;15;0;17;2;35;2.5;4;5;2;3;3;4
7;5;30;0;18;4;101;2;2;5;2;2;2;4
7;7;111;3;21;0;200;1.5;1;3;1;5;1;4
7;9;62;1;14;1;156;1.5;1;4;2;4;1;4
7;11;17;0;5;3;108;3.5;4;5;4;3;2;4
7;13;18;0;25;2;156;3;4;5;1;3;1;4
