## Myxomatosis data from Fenner et al. 1956
## transcribed (BMB) from Figure x, p. x
## of Dwyer, Levin and Buttel, Ecological Applications xxx:xxx-xxx (1990)
grade day titer
1 2 5.207
1 2 5.734
1 2 6.613
1 3 5.997
1 3 6.612
1 3 6.81
1 4 5.93
1 4 6.501
1 4 7.182
1 4 7.292
1 5 7.819
1 5 7.489
1 5 6.918
1 5 6.808
1 6 6.235
1 6 6.916
1 2 4.196
1 9 7.682
1 8 8.189
1 7 7.707
1 7 7.597
1 8 7.112
1 8 7.354
1 6 7.158
1 6 7.466
1 6 7.927
1 6 8.499
3 2 5.622
3 2 5.996
3 4 6.299
3 4 6.497
3 4 6.914
3 4 7.112
3 4 7.31
3 6 8.514
3 6 6.8
3 8 7.807
3 9 8.398
3 9 7.409
3 10 7.978
3 13 5.971
3 13 5.4
3 15 6.868
3 15 7.176
3 23 6.103
3 23 6.279
3 22 7.974
3 22 8.061
3 23 7.905
4 2 2.322
4 2 3.002
4 2 5.919
4 2 6.314
4 3 5.019
4 3 6.62
4 4 7.276
4 4 6.75
4 4 6.333
4 4 5.303
4 5 5.609
4 5 6.508
4 5 7.604
4 6 7.998
4 6 7.099
4 6 5.213
4 8 5.211
4 7 6.988
4 7 7.975
4 8 7.996
4 8 7.118
4 9 6.81
4 9 7.49
4 9 7.819
4 10 8.607
4 10 8.41
4 10 7.489
4 10 7.182
4 12 7.684
4 12 7.925
4 13 8.955
4 13 9.021
4 13 7.595
4 13 7.31
4 13 7.113
4 15 5.115
4 15 5.422
4 15 7.177
4 15 7.264
4 15 7.988
4 14 8.603
4 15 8.799
4 18 7.7
4 18 6.318
4 18 5.068
4 20 6.513
4 20 7.434
4 21 7.806
4 23 8.111
4 23 7.606
4 26 5.432
4 26 7.691
4 27 7.602
4 28 7.294
4 28 6.636
4 13 7.705
5 2 4.108
5 2 4.614
5 2 5.493
5 3 6.525
5 3 6.327
5 3 5.734
5 3 5.624
5 4 6.239
5 4 6.129
5 4 5.052
5 5 6.634
5 5 6.282
5 5 6.128
5 5 5.733
5 5 5.293
5 6 6.633
5 6 5.732
5 6 5.248
5 6 5.029
5 6 3.71
5 7 2.896
5 7 3.38
5 7 4.434
5 7 6.017
5 8 5.73
5 8 5.049
5 8 4.412
5 9 5.62
5 9 5.048
5 9 4.741
5 9 4.015
5 10 5.114
5 13 5.749
5 13 4.54
5 13 4.232
5 12 3.024
5 13 3.309
5 15 4.297
5 15 4.033
5 17 4.735
5 17 2.867
5 20 2.93
5 20 2.711
5 27 1.958
